adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,akaryakit_dagitim_sirketi_tnm,lpg_dagitim_sirketi,lpg_dagitim_sirketi_tnm,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longitude
EKMEL İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,11,Pet-Line,,Bilinmiyor,1,Aktif,2052,ÇEKMEKÖY,40758,ÖMERLİ,29.34745491,41.08760596
VADİM PETROL LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1421,KADIKÖY,40529,KOZYATAĞI,29.10274261,40.96764901
GÜRLER PETROL ÜRÜNLERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,2055,SULTANGAZİ,40472,SULTANÇİFTLİĞİ,28.86334675,41.09489084
ÜSKÜDAR PETROL NAKLİYAT İNŞAAT VE TAAHHÜT TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,2012,MALTEPE,40612,ALTAYÇEŞME,29.13306917,40.92783851
BP PETROLLERİ AŞ.,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1604,SARIYER,191777,USKUMRUKÖY,29.03680574,41.19144222
ERHAN DEDEOĞLU PETROL ÜRÜNLERİ PAZARLAMA VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,36,Petro Gaz,1,Aktif,2012,MALTEPE,40608,ÇINAR,29.12343930,40.94776756
BP PETROLLERİ A.Ş.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1421,KADIKÖY,40529,KOZYATAĞI,29.10335137,40.96644558
SHELL PETROL A.Ş.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2052,ÇEKMEKÖY,40765,TAŞDELEN,29.23101092,41.03084799
" KARTALKAYA İNŞAAT RENT A-CAR SAN.TİC.LTD.ŞTİ.",1,Akaryakıt,10,Opet,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,28.32291996,41.06387731
SHELL PETROL AŞ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1185,BEYKOZ,40244,GÖKSU,29.07078134,41.07999656
OTTOMAN PETROL HARFİYAT İNŞ.NAK.TURZ.SAN. VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2004,BAĞCILAR,40173,FEVZİ ÇAKMAK,28.85967769,41.04773828
HİLAL PETROL ÜRÜN.İNŞ.TAAH.GIDA MAD.DAY.TÜK.MAK.PAZ.VE TİC.LTD.ŞTİ.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1449,KARTAL,40556,CUMHURİYET,29.21751190,40.90247235
HANDE DERİ PETROL ÜRÜN.OTOM.SAN.TİC.LTD.ŞTİ.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,2014,SULTANBEYLİ,40956,AKŞEMSETTİN,29.30204185,40.94255158
HİLAL PETROL GAZ ÜRÜN.İNŞ.OTO.PAZ.İTH.İHR.PAZ.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,1336,GAZİOSMANPAŞA,40459,BARBAROS HAYRETTİN PAŞA,28.89335859,41.08089939
SHELL PETROL A.Ş.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2012,MALTEPE,40623,ZÜMRÜTEVLER,29.14092765,40.93749563
YILMAZ PETROL - MEHMET YILMAZ VE SELÇUK YILMAZ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2004,BAĞCILAR,40167,YENİMAHALLE,28.83360109,41.03986548
SHELL PETROL ANONİM ŞİRKETİ,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1810,KAĞITHANE,40551,TELSİZLER,28.99990174,41.07519130
AYTEMİZ PETROLCÜLÜK TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,3,Aytemiz,,Bilinmiyor,1,Aktif,2003,AVCILAR,40154,TAHTAKALE,28.73067151,41.05823633
İSTOÇ PETROL VE İNŞ. LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,28.82515769,41.06971419
KAYA KARDEŞLER PETROL İNŞAAT TAAHHÜT OTO.VE GIDA SAN.TİC.LTD.ŞTİ.,1,Akaryakıt,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40582,ATAKENT,28.78202783,41.04444737
ZİVER PETROL ANONİM ŞİRKETİ,2,Akaryakıt Lpg,9,LukOil,26,Luk Oil,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,28.90499752,41.07437664
ÖZTÜRKLER MADENİYAĞ ÜRÜNLERİ AKARYAKIT TURİZM İNŞAAT SANAYİ TİC.LTD.ŞT,1,Akaryakıt,10,Opet,,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40210,YILDIRIM,28.89254169,41.07009753
" AYTEMİZ PETROLCÜLÜK TİC. LTD. ŞTİ.",2,Akaryakıt Lpg,3,Aytemiz,14,Bp Gaz,1,Aktif,2004,BAĞCILAR,40175,GÖZTEPE,28.83207995,41.05998749
ELİT PETROLCÜLÜK İNŞ.VE GIDA DIŞ TİC.LTD.ŞTİ.,1,Akaryakıt,10,Opet,,Bilinmiyor,1,Aktif,2003,AVCILAR,40154,TAHTAKALE,28.72805300,41.05682424
BAUSAN BİNA PROJE ARAŞTIRMA SAN.AŞ,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1708,ÜSKÜDAR,40789,BURHANİYE,29.05469689,41.02421121
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,36,Petro Gaz,1,Aktif,1852,ÜMRANİYE,98699,NECİP FAZIL,29.17768789,41.01651051
GGG PETROLLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2015,TUZLA,40726,TEPEÖREN,29.36116370,40.93586163
DOĞUŞ PETROL İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2055,SULTANGAZİ,40474,CEBECİ,28.85721776,41.11363622
PRESTİJ PETROL TEKS.GIDA İNŞ.TUR.SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,28.81207503,41.05015537
KURTTAŞ İNŞAAT TURİZM AKARYAKIT İŞLETMECİLİĞİ SAN.VE TİC.AŞ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1421,KADIKÖY,40516,EĞİTİM,29.04218668,40.98943776
SHELL PETROL  A.Ş.,2,Akaryakıt Lpg,5,BP,,Bilinmiyor,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,29.11268323,41.02215900
NAZİF SÖZBİR-TAMER SÖZBİR -NİHAL KARAKUŞ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1708,ÜSKÜDAR,98669,SULTANTEPE,29.01747482,41.02892188
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,28.84978727,41.04180765
ERDÖNMEZ PETROL SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2005,BAHÇELİEVLER,40182,KOCASİNAN MERKEZ,28.84041721,41.02069618
KILIÇ NAKLİYAT HAFRİYAT LOJİSTİK ANTREPO.PET. VE MET. SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,37,Petrol Ofisi,1,Aktif,2054,SANCAKTEPE,40762,MECLİS,29.20741025,41.01257362
AYTEMİZ PETROLCÜLÜK TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1604,SARIYER,40673,POLİGON,29.04087981,41.11233072
FREE LOJİSTİK AKARYAKIT PAZARLAMA VE TİC. LTD. ŞTİ.,2,Akaryakıt Lpg,9,LukOil,3,Akpet Gaz,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,28.54734886,41.01398501
GÖRPET PETROL ÜRÜNLERİ İNŞAAT VE OTOMOTİV SANAYİ VE TİCARET LİMİTED Şİ,1,Akaryakıt,15,Total,,Bilinmiyor,1,Aktif,1449,KARTAL,40559,ESENTEPE,29.20264182,40.90890613
GÜZEL ENERJİ AKARYAKIT AŞ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2048,ARNAVUTKÖY,,TAYAKADIN,,
KOÇ PETROL TURİZM VE NAKLİYAT SAN.TİC.LTD.ŞTİ.,1,Akaryakıt,10,Opet,10,Aygaz,1,Aktif,2004,BAĞCILAR,40172,FATİH,28.84050802,41.05473055
VEYSİ GENÇ AKARYAKITSANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,5,BP,10,Aygaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,28.79714928,41.03664270
OPET MARKET VE AKARYAKIT İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2016,ESENLER,40345,FEVZİ ÇAKMAK,28.87684213,41.04909299
OPET MARKET VE AKARYAKIT İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,1,Akaryakıt,10,Opet,34,Petgaz,1,Aktif,1852,ÜMRANİYE,40741,YUKARI DUDULLU,29.16373448,41.01414594
NEVE PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40884,KUMBURGAZ,28.45982280,41.02839270
VEYSİ GENÇ AKAR. SAN. VE TİC. LTD. ŞTİ.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,28.85129206,41.03339729
SADIKOĞLU PETROL PAZOTOMO.TURİZM MARKETİŞLT.SAN.TİC.LTD.ŞTİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1663,ŞİŞLİ,40692,ESKİŞEHİR,28.97831723,41.04468951
MERCAN TRANS PETROL İNŞAAT GIDA TARIM İTHALAT İHRACAT SANAYİ VE TİCARE,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40882,BAHÇELİEVLER,28.48309223,41.01790620
ŞEREF TATLI ,1,Akaryakıt,15,Total,,Bilinmiyor,1,Aktif,1237,ÇATALCA,40899,ÇAKIL,28.45046913,41.11605161
ASTEMYA İNŞAAT VE AKARYAKIT AŞ.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1852,ÜMRANİYE,98703,ŞERİFALİ,29.15498896,40.99902935
KENAN KARATAŞ İNŞAAT PETROL SAN. İÇ. VE DIŞ. TİC. LTD. ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1823,KÜÇÜKÇEKMECE,40592,İNÖNÜ,28.80376468,41.01578731
CEVAHİR PETROL ÜRÜNLERİ PAZARLAMA VE TAŞIMA LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,28.62845275,41.11736787
